run_key,study,task,model,runtime_model_name,seed,data_seed_train,data_seed_validation,data_seed_test,train_length,eval_length,active_branches_train,active_branches_eval,train_samples,validation_samples,test_samples,valid_tokens_eval_mean,best_epoch,best_validation_loss,best_validation_accuracy,training_seconds,training_examples_per_second_last_epoch,training_tokens_per_second_last_epoch,parameter_count,checkpoint,eval_loss,eval_accuracy,eval_examples,runtime_inference_seconds_per_batch,runtime_inference_examples_per_second,runtime_inference_tokens_per_second,runtime_inference_batch_size,struct_bond_dimension,struct_effective_rank,struct_tree_depth,struct_active_branches,struct_cut_capacity_bits_proxy,struct_stream_state_scalars_proxy,struct_parameter_count,eval_levels_used,eval_effective_rank,eval_orthogonality,eval_branch_levels_used,eval_branch_effective_rank,eval_global_levels_used,eval_global_effective_rank,struct_router_search_scalars_proxy,eval_branch_orthogonality,eval_global_orthogonality,eval_router_router_entropy,eval_router_router_balance,eval_router_router_active_branches,eval_router_router_lag_entropy,eval_route_accuracy_aligned,eval_route_purity,eval_route_used_branches,struct_attention_score_scalars_proxy,eval_branch_rank_regularizer,eval_global_rank_regularizer
detail_disentangler__fixed_ttn__seed20280819,detail_disentangler,predictive_detail,fixed_ttn,fixed_ttn,20280819,20280823,20280835,22280812,32,64,8,8,2048,512,512,62.0,3,0.6683890372514725,0.59375,2.63565385000004,8187.735172504656,262007.525520149,11683,checkpoints/detail_disentangler__fixed_ttn__seed20280819.pt,0.7292192280292511,0.48046875,512.0,0.0028178150000144,22712.63372495077,1453608.5583968495,64.0,16.0,16.0,6.0,1.0,4.0,96.0,11683.0,6.0,16.0,,,,,,,,,,,,,,,,,,
detail_disentangler__fixed_ttn__seed20280819,detail_disentangler,predictive_detail,fixed_ttn,fixed_ttn,20280819,20280823,20280835,23280812,32,128,8,8,2048,512,512,128.0,3,0.6683890372514725,0.59375,2.63565385000004,8187.735172504656,262007.525520149,11683,checkpoints/detail_disentangler__fixed_ttn__seed20280819.pt,0.7155503034591675,0.486328125,512.0,0.004385083333337,14594.933581637524,1868151.498449603,64.0,16.0,16.0,7.0,1.0,4.0,112.0,11683.0,7.0,16.0,,,,,,,,,,,,,,,,,,
combined_stress__fixed_ttn__seed20310819,combined_stress,combined_language,fixed_ttn,fixed_ttn,20310819,20310823,20310835,21310812,64,64,8,8,1024,256,512,49.0,0,0.680675595998764,0.578125,0.8400231159999976,6397.154785444404,409417.9062684419,11715,checkpoints/combined_stress__fixed_ttn__seed20310819.pt,0.6926924288272858,0.54296875,512.0,0.0015582583333184,41071.49541995759,2628575.7068772856,64.0,16.0,16.0,6.0,1.0,4.0,96.0,11715.0,6.0,16.0,,,,,,,,,,,,,,,,,,
combined_stress__fixed_ttn__seed20310819,combined_stress,combined_language,fixed_ttn,fixed_ttn,20310819,20310823,20310835,22310812,64,128,8,8,1024,256,512,49.0,0,0.680675595998764,0.578125,0.8400231159999976,6397.154785444404,409417.9062684419,11715,checkpoints/combined_stress__fixed_ttn__seed20310819.pt,0.6917161345481873,0.544921875,512.0,0.0031460940000063,20342.68524712548,2603863.7116320617,64.0,16.0,16.0,7.0,1.0,4.0,112.0,11715.0,7.0,16.0,,,,,,,,,,,,,,,,,,
interleaved_tournament__fixed_mera__seed20261019,interleaved_tournament,interleaved_threads,fixed_mera,fixed_mera,20261019,20260823,20260835,21261012,32,32,8,8,2048,512,512,32.0,1,1.3309576511383057,0.353515625,2.7362670780000258,6035.655700889206,193140.9824284546,18885,checkpoints/interleaved_tournament__fixed_mera__seed20261019.pt,1.330677330493927,0.353515625,512.0,0.0026592553333368,24066.887898159574,770140.4127411064,64.0,16.0,16.0,5.0,1.0,20.0,80.0,18885.0,5.0,16.0,0.0027128220535814,,,,,,,,,,,,,,,,,
interleaved_tournament__fixed_mera__seed20261019,interleaved_tournament,interleaved_threads,fixed_mera,fixed_mera,20261019,20260823,20260835,22261012,32,64,8,8,2048,512,512,64.0,1,1.3309576511383057,0.353515625,2.7362670780000258,6035.655700889206,193140.9824284546,18885,checkpoints/interleaved_tournament__fixed_mera__seed20261019.pt,1.4035443663597107,0.287109375,512.0,0.0138504629999829,4620.784157185131,295730.1860598484,64.0,16.0,16.0,6.0,1.0,24.0,96.0,18885.0,6.0,16.0,0.0022606851998716,,,,,,,,,,,,,,,,,
interleaved_tournament__fixed_mera__seed20261019,interleaved_tournament,interleaved_threads,fixed_mera,fixed_mera,20261019,20260823,20260835,23261012,32,128,8,8,2048,512,512,128.0,1,1.3309576511383057,0.353515625,2.7362670780000258,6035.655700889206,193140.9824284546,18885,checkpoints/interleaved_tournament__fixed_mera__seed20261019.pt,1.4136366248130798,0.279296875,512.0,0.0063519473333334,10075.650291390844,1289683.2372980278,64.0,16.0,16.0,7.0,1.0,28.0,112.0,18885.0,7.0,16.0,0.0019377301214262,,,,,,,,,,,,,,,,,
hierarchy_topology__fixed_mera__seed20270919,hierarchy_topology,permuted_hierarchy,fixed_mera,fixed_mera,20270919,20270823,20270835,21270912,32,32,8,8,4096,1024,512,17.0,10,0.5427409447729588,0.7470703125,8.003758366,9488.510469001343,303632.335008043,18819,checkpoints/hierarchy_topology__fixed_mera__seed20270919.pt,0.5435520112514496,0.7734375,512.0,0.0023625233333177,27089.67953773508,866869.7452075225,64.0,16.0,16.0,5.0,1.0,20.0,80.0,18819.0,5.0,16.0,0.0077068172395229,,,,,,,,,,,,,,,,,
hierarchy_topology__fixed_mera__seed20270919,hierarchy_topology,permuted_hierarchy,fixed_mera,fixed_mera,20270919,20270823,20270835,22270912,32,64,8,8,4096,1024,512,17.0,10,0.5427409447729588,0.7470703125,8.003758366,9488.510469001343,303632.335008043,18819,checkpoints/hierarchy_topology__fixed_mera__seed20270919.pt,0.5052826553583145,0.7734375,512.0,0.0038632326666743,16566.436847588226,1060251.9582456464,64.0,16.0,16.0,6.0,1.0,24.0,96.0,18819.0,6.0,16.0,0.0064223478548228,,,,,,,,,,,,,,,,,
hierarchy_topology__fixed_mera__seed20270919,hierarchy_topology,permuted_hierarchy,fixed_mera,fixed_mera,20270919,20270823,20270835,23270912,32,128,8,8,4096,1024,512,17.0,10,0.5427409447729588,0.7470703125,8.003758366,9488.510469001343,303632.335008043,18819,checkpoints/hierarchy_topology__fixed_mera__seed20270919.pt,0.5313808470964432,0.76171875,512.0,0.0062839959999981,10184.60228173584,1303629.0920621876,64.0,16.0,16.0,7.0,1.0,28.0,112.0,18819.0,7.0,16.0,0.005504869390279,,,,,,,,,,,,,,,,,
